"Header","Activities","Periods","Labour","Output","ValueAdded","Label","Labour_Growth","Output_Growth","ValueAdded_Growth"
"Environmental domains, total","Ideological environmental organisations",2010,2.8,287,166,"Ideological environm [...]",0.933333333333333,0.916932907348243,0.937853107344633
"Environmental domains, total","Ideological environmental organisations",2011,2.6,277,163,"Ideological environm [...]",0.928571428571429,0.965156794425087,0.981927710843373
"Environmental domains, total","Ideological environmental organisations",2012,2.6,291,171,"Ideological environm [...]",1,1.05054151624549,1.04907975460123
"Environmental domains, total","Ideological environmental organisations",2013,2.5,302,174,"Ideological environm [...]",0.961538461538461,1.03780068728522,1.01754385964912
"Environmental domains, total","Ideological environmental organisations",2014,2.5,312,180,"Ideological environm [...]",1,1.03311258278146,1.03448275862069
"Environmental domains, total","Ideological environmental organisations",2015,2.5,333,194,"Ideological environm [...]",1,1.06730769230769,1.07777777777778
"Environmental domains, total","Insulation activities constr. industry",2001,20.9,1836,850,"Insulation activitie [...]",NA,NA,NA
"Environmental domains, total","Insulation activities constr. industry",2002,19.3,1752,828,"Insulation activitie [...]",0.923444976076555,0.954248366013072,0.974117647058824
"Environmental domains, total","Insulation activities constr. industry",2003,15.8,1478,706,"Insulation activitie [...]",0.818652849740933,0.843607305936073,0.852657004830918
"Environmental domains, total","Insulation activities constr. industry",2004,13.3,1246,590,"Insulation activitie [...]",0.841772151898734,0.843031123139378,0.835694050991501
"Environmental domains, total","Insulation activities constr. industry",2005,12.5,1219,577,"Insulation activitie [...]",0.93984962406015,0.978330658105939,0.977966101694915
"Environmental domains, total","Insulation activities constr. industry",2006,14.7,1509,707,"Insulation activitie [...]",1.176,1.23789991796555,1.22530329289428
"Environmental domains, total","Insulation activities constr. industry",2007,15.9,1770,823,"Insulation activitie [...]",1.08163265306122,1.17296222664016,1.16407355021216
"Environmental domains, total","Insulation activities constr. industry",2008,15.9,1922,894,"Insulation activitie [...]",1,1.08587570621469,1.08626974483597
