"Header","Activities","Periods","Labour","Output","ValueAdded","Label"
"Environmental domains, total","Other governmental activities",2006,29.9,4318,2546,"Other governmental a [...]"
"Environmental domains, total","Other governmental activities",2007,29.6,4587,2722,"Other governmental a [...]"
"Environmental domains, total","Other governmental activities",2008,27.6,4683,2829,"Other governmental a [...]"
"Environmental domains, total","Other governmental activities",2009,29.8,5049,3008,"Other governmental a [...]"
"Environmental domains, total","Other governmental activities",2010,28.6,5001,3054,"Other governmental a [...]"
"Environmental domains, total","Other governmental activities",2011,27.8,4949,3160,"Other governmental a [...]"
"Environmental domains, total","Other governmental activities",2012,26.7,4944,3249,"Other governmental a [...]"
"Environmental domains, total","Other governmental activities",2013,27.3,5289,3373,"Other governmental a [...]"
"Environmental domains, total","Other governmental activities",2014,25.7,5290,3388,"Other governmental a [...]"
"Environmental domains, total","Other governmental activities",2015,25.5,5045,3459,"Other governmental a [...]"
"Environmental domains, total","Water quality management",2001,6,902,482,"Water quality manage [...]"
"Environmental domains, total","Water quality management",2002,6.4,966,522,"Water quality manage [...]"
"Environmental domains, total","Water quality management",2003,6.6,1068,534,"Water quality manage [...]"
"Environmental domains, total","Water quality management",2004,6.3,1097,558,"Water quality manage [...]"
"Environmental domains, total","Water quality management",2005,6.4,1124,589,"Water quality manage [...]"
"Environmental domains, total","Water quality management",2006,6.5,1214,634,"Water quality manage [...]"
"Environmental domains, total","Water quality management",2007,6.2,1314,676,"Water quality manage [...]"
"Environmental domains, total","Water quality management",2008,5.8,1360,721,"Water quality manage [...]"
"Environmental domains, total","Water quality management",2009,6.1,1452,747,"Water quality manage [...]"
"Environmental domains, total","Water quality management",2010,5.9,1406,742,"Water quality manage [...]"
"Environmental domains, total","Water quality management",2011,5.6,1412,726,"Water quality manage [...]"
"Environmental domains, total","Water quality management",2012,5.6,1424,734,"Water quality manage [...]"
"Environmental domains, total","Water quality management",2013,5.7,1432,741,"Water quality manage [...]"
"Environmental domains, total","Water quality management",2014,5.5,1363,712,"Water quality manage [...]"
"Environmental domains, total","Water quality management",2015,5.3,1279,649,"Water quality manage [...]"
